#Input Bitrate    #Measured Bitrate
1000              2800
3000              5000
5000              7100
7000              9600
9000              12200
11000             14500
13000             17000
15000             19100
17000             21700
19000             24000
21000             26500
23000             29000
25000             31500
27000             34500
29000             36500
31000             39000
33000             41500
35000             43500
